year,date,name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adj,EUR_adj,GBP_adj,JPY_adj,CNY_adj,"Gross domestic product per capita, current prices (National currency)","Gross domestic product per capita, current prices (U.S. dollars)","Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Unemployment rate (Percent of total labor force)
2003,2003-04-01,Mexico,MEX,MXN,23.0,10.53,2.184235517568851,-0.19401,-0.26728,-0.30531,0.00041,0.82682,,,,,,,,"76,477.53","7,088.46",54.278,4.551,3.4
2003,2003-04-01,New Zealand,NZL,NZD,3.95,1.78,2.2191011235955056,-0.18114,-0.25558,-0.29422,0.01638,0.85598,,,,,,,,"35,173.67","20,480.43",107.221,1.754,4.75
2003,2003-04-01,Peru,PER,PEN,7.9,3.46,2.2832369942196533,-0.15748,-0.23407,-0.27383,0.04576,0.90962,,,,,,,,"7,512.40","2,159.74",83.975,2.261,9.424
2003,2003-04-01,Philippines,PHL,PHP,65.0,52.5,1.2380952380952381,-0.54314,-0.58467,-0.60623,-0.43293,0.0355,,,,,,,,"57,597.50","1,062.62",65.225,2.22,11.4
2003,2003-04-01,Poland,POL,PLN,6.3,3.89,1.6195372750642671,-0.40238,-0.45671,-0.48491,-0.25823,0.35452,,,,,,,,"22,166.00","5,699.56",128.072,0.842,19.643
2003,2003-04-01,Russia,RUS,RUB,41.0,31.1,1.3183279742765273,-0.51353,-0.55776,-0.58071,-0.39619,0.1026,,,,,,,,"98,051.26","3,197.57",32.454,13.663,8.233
2003,2003-04-01,Singapore,SGP,SGD,3.3,1.78,1.8539325842696628,-0.31589,-0.37808,-0.41036,-0.15087,0.55056,,,,,,,,"41,342.67","23,730.38",75.261,0.487,3.95
2003,2003-04-01,South Africa,ZAF,ZAR,13.95,7.56,1.8452380952380953,-0.3191,-0.381,-0.41313,-0.15485,0.54329,,,,,,,,"31,842.05","4,209.22",48.542,5.871,27.65
2003,2003-04-01,South Korea,KOR,KRW,3300.0,1220.0,2.7049180327868854,-0.00188,-0.09261,-0.13971,0.23889,1.2623,,,,,,,,,,,,
2003,2003-04-01,Sweden,SWE,SEK,30.0,8.34,3.597122302158273,0.32735,0.20668,0.14405,0.64754,2.0085,,,,,,,,"301,208.82","37,249.26",85.44,2.319,6.567
2003,2003-04-01,Switzerland,CHE,CHF,6.3,1.37,4.598540145985401,0.69688,0.54262,0.46255,1.1062,2.84605,,,,,,,,"66,905.66","49,683.01",95.361,0.636,3.691
2003,2003-04-01,Taiwan,TWN,TWD,70.0,34.8,2.0114942528735633,-0.25775,-0.32523,-0.36025,-0.0787,0.68234,,,,,,,,,,,,
